Time,Value,Setpoint,Control
0,20.000000,25.000000,4.750000
1,18.950000,25.000000,5.497500
2,18.154500,25.000000,6.450725
3,17.629195,25.000000,6.949175
4,17.256110,25.000000,7.232420
5,16.976983,25.000000,7.446326
6,16.768550,25.000000,7.606003
7,16.612896,25.000000,7.725249
8,16.496656,25.000000,7.814299
9,16.409850,25.000000,7.880800
10,16.345025,25.000000,7.930462
11,16.296615,25.000000,7.967549
12,16.260463,25.000000,7.995244
13,16.233466,25.000000,8.015927
14,16.213305,25.000000,8.031372
15,16.198249,25.000000,8.042907
16,16.187005,25.000000,8.051520
17,16.178609,25.000000,8.057953
18,16.172338,25.000000,8.062756
19,16.167656,25.000000,8.066344
20,16.164159,25.000000,8.069023
21,16.161548,25.000000,8.071023
22,16.159597,25.000000,8.072517
23,16.158141,25.000000,8.073633
24,16.157054,25.000000,8.074466
25,16.156241,25.000000,8.075088
26,16.155635,25.000000,8.075553
27,16.155182,25.000000,8.075900
28,16.154844,25.000000,8.076159
29,16.154591,25.000000,8.076352
30,16.154402,25.000000,8.076497
31,16.154262,25.000000,8.076605
32,16.154156,25.000000,8.076685
33,16.154078,25.000000,8.076746
34,16.154019,25.000000,8.076791
35,16.153975,25.000000,8.076824
36,16.153943,25.000000,8.076849
37,16.153918,25.000000,8.076868
38,16.153900,25.000000,8.076882
39,16.153886,25.000000,8.076892
40,16.153876,25.000000,8.076900
41,16.153869,25.000000,8.076906
42,16.153863,25.000000,8.076910
43,16.153859,25.000000,8.076914
44,16.153855,25.000000,8.076916
45,16.153853,25.000000,8.076918
46,16.153851,25.000000,8.076919
47,16.153850,25.000000,8.076920
48,16.153849,25.000000,8.076921
49,16.153848,25.000000,8.076921
50,16.153848,25.000000,8.076922
51,16.153847,25.000000,8.076922
52,16.153847,25.000000,8.076922
53,16.153847,25.000000,8.076923
54,16.153847,25.000000,8.076923
55,16.153847,25.000000,8.076923
56,16.153846,25.000000,8.076923
57,16.153846,25.000000,8.076923
58,16.153846,25.000000,8.076923
59,16.153846,25.000000,8.076923
60,16.153846,25.000000,8.076923
61,16.153846,25.000000,8.076923
62,16.153846,25.000000,8.076923
63,16.153846,25.000000,8.076923
64,16.153846,25.000000,8.076923
65,16.153846,25.000000,8.076923
66,16.153846,25.000000,8.076923
67,16.153846,25.000000,8.076923
68,16.153846,25.000000,8.076923
69,16.153846,25.000000,8.076923
70,16.153846,25.000000,8.076923
71,16.153846,25.000000,8.076923
72,16.153846,25.000000,8.076923
73,16.153846,25.000000,8.076923
74,16.153846,25.000000,8.076923
75,16.153846,25.000000,8.076923
76,16.153846,25.000000,8.076923
77,16.153846,25.000000,8.076923
78,16.153846,25.000000,8.076923
79,16.153846,25.000000,8.076923
80,16.153846,25.000000,8.076923
81,16.153846,25.000000,8.076923
82,16.153846,25.000000,8.076923
83,16.153846,25.000000,8.076923
84,16.153846,25.000000,8.076923
85,16.153846,25.000000,8.076923
86,16.153846,25.000000,8.076923
87,16.153846,25.000000,8.076923
88,16.153846,25.000000,8.076923
89,16.153846,25.000000,8.076923
90,16.153846,25.000000,8.076923
91,16.153846,25.000000,8.076923
92,16.153846,25.000000,8.076923
93,16.153846,25.000000,8.076923
94,16.153846,25.000000,8.076923
95,16.153846,25.000000,8.076923
96,16.153846,25.000000,8.076923
97,16.153846,25.000000,8.076923
98,16.153846,25.000000,8.076923
99,16.153846,25.000000,8.076923
100,16.153846,25.000000,8.076923
