Time,Value,Setpoint,Control
0,20.000000,25.000000,5.900000
1,14.509908,25.000000,10.000000
2,10.814728,25.000000,10.000000
3,9.559944,25.000000,10.000000
4,9.429167,25.000000,10.000000
5,9.573666,25.000000,10.000000
6,9.721323,25.000000,10.000000
7,9.819373,25.000000,10.000000
8,9.874225,25.000000,10.000000
9,9.901689,25.000000,10.000000
10,9.914231,25.000000,10.000000
11,9.919461,25.000000,10.000000
12,9.921421,25.000000,10.000000
13,9.922050,25.000000,10.000000
14,9.922195,25.000000,10.000000
15,9.922194,25.000000,10.000000
16,9.922164,25.000000,10.000000
17,9.922139,25.000000,10.000000
18,9.922124,25.000000,10.000000
19,9.922116,25.000000,10.000000
20,9.922112,25.000000,10.000000
21,9.922110,25.000000,10.000000
22,9.922110,25.000000,10.000000
23,9.922109,25.000000,10.000000
24,9.922109,25.000000,10.000000
25,9.922109,25.000000,10.000000
26,9.922109,25.000000,10.000000
27,9.922109,25.000000,10.000000
28,9.922109,25.000000,10.000000
29,9.922109,25.000000,10.000000
30,9.922109,25.000000,10.000000
31,9.922109,25.000000,10.000000
32,9.922109,25.000000,10.000000
33,9.922109,25.000000,10.000000
34,9.922109,25.000000,10.000000
35,9.922109,25.000000,10.000000
36,9.922109,25.000000,10.000000
37,9.922109,25.000000,10.000000
38,9.922109,25.000000,10.000000
39,9.922109,25.000000,10.000000
40,9.922109,25.000000,10.000000
41,9.922109,25.000000,10.000000
42,9.922109,25.000000,10.000000
43,9.922109,25.000000,10.000000
44,9.922109,25.000000,10.000000
45,9.922109,25.000000,10.000000
46,9.922109,25.000000,10.000000
47,9.922109,25.000000,10.000000
48,9.922109,25.000000,10.000000
49,9.922109,25.000000,10.000000
50,9.922109,25.000000,10.000000
51,9.922109,25.000000,10.000000
52,9.922109,25.000000,10.000000
53,9.922109,25.000000,10.000000
54,9.922109,25.000000,10.000000
55,9.922109,25.000000,10.000000
56,9.922109,25.000000,10.000000
57,9.922109,25.000000,10.000000
58,9.922109,25.000000,10.000000
59,9.922109,25.000000,10.000000
60,9.922109,25.000000,10.000000
61,9.922109,25.000000,10.000000
62,9.922109,25.000000,10.000000
63,9.922109,25.000000,10.000000
64,9.922109,25.000000,10.000000
65,9.922109,25.000000,10.000000
66,9.922109,25.000000,10.000000
67,9.922109,25.000000,10.000000
68,9.922109,25.000000,10.000000
69,9.922109,25.000000,10.000000
70,9.922109,25.000000,10.000000
71,9.922109,25.000000,10.000000
72,9.922109,25.000000,10.000000
73,9.922109,25.000000,10.000000
74,9.922109,25.000000,10.000000
75,9.922109,25.000000,10.000000
76,9.922109,25.000000,10.000000
77,9.922109,25.000000,10.000000
78,9.922109,25.000000,10.000000
79,9.922109,25.000000,10.000000
80,9.922109,25.000000,10.000000
81,9.922109,25.000000,10.000000
82,9.922109,25.000000,10.000000
83,9.922109,25.000000,10.000000
84,9.922109,25.000000,10.000000
85,9.922109,25.000000,10.000000
86,9.922109,25.000000,10.000000
87,9.922109,25.000000,10.000000
88,9.922109,25.000000,10.000000
89,9.922109,25.000000,10.000000
90,9.922109,25.000000,10.000000
91,9.922109,25.000000,10.000000
92,9.922109,25.000000,10.000000
93,9.922109,25.000000,10.000000
94,9.922109,25.000000,10.000000
95,9.922109,25.000000,10.000000
96,9.922109,25.000000,10.000000
97,9.922109,25.000000,10.000000
98,9.922109,25.000000,10.000000
99,9.922109,25.000000,10.000000
100,9.922109,25.000000,10.000000
