Time,Value,Setpoint
0,20.000000,0.000000
1,14.240777,0.000000
2,9.316023,0.000000
3,7.121928,0.000000
4,6.441583,0.000000
5,6.247049,0.000000
6,6.189987,0.000000
7,6.171180,0.000000
8,6.155074,0.000000
9,6.126029,0.000000
10,6.079514,0.000000
11,6.019428,0.000000
12,5.955517,0.000000
13,5.900083,0.000000
14,5.864422,0.000000
15,5.855742,0.000000
16,5.875186,0.000000
17,5.917385,0.000000
18,5.971618,0.000000
19,6.024321,0.000000
20,6.062354,0.000000
21,6.076220,0.000000
22,6.062422,0.000000
23,6.024311,0.000000
24,5.971229,0.000000
25,5.916166,0.000000
26,5.872552,0.000000
27,5.851001,0.000000
28,5.856754,0.000000
29,5.888420,0.000000
30,5.938295,0.000000
31,5.994198,0.000000
32,6.042424,0.000000
33,6.071114,0.000000
34,6.073204,0.000000
35,6.048190,0.000000
36,6.002246,0.000000
37,5.946663,0.000000
38,5.895048,0.000000
39,5.859993,0.000000
40,5.850033,0.000000
41,5.867600,0.000000
42,5.908436,0.000000
43,5.962591,0.000000
44,6.016821,0.000000
45,6.057811,0.000000
46,6.075474,0.000000
47,6.065465,0.000000
48,6.030264,0.000000
49,5.978544,0.000000
50,5.922994,0.000000
51,5.877190,0.000000
52,5.852295,0.000000
53,5.854370,0.000000
54,5.882924,0.000000
55,5.931019,0.000000
56,5.986916,0.000000
57,6.036921,0.000000
58,6.068742,0.000000
59,6.074544,0.000000
60,6.052910,0.000000
61,6.009181,0.000000
62,5.954112,0.000000
63,5.901190,0.000000
64,5.863331,0.000000
65,5.849754,0.000000
66,5.863771,0.000000
67,5.901986,0.000000
68,5.955095,0.000000
69,6.010114,0.000000
70,6.053543,0.000000
71,6.074696,0.000000
72,6.068366,0.000000
73,6.036129,0.000000
74,5.985929,0.000000
75,5.930091,0.000000
76,5.882267,0.000000
77,5.854115,0.000000
78,5.852490,0.000000
79,5.877800,0.000000
80,5.923896,0.000000
81,5.979537,0.000000
82,6.031096,0.000000
83,6.065905,0.000000
84,6.075393,0.000000
85,6.057233,0.000000
86,6.015913,0.000000
87,5.961600,0.000000
88,5.907603,0.000000
89,5.867106,0.000000
90,5.849972,0.000000
91,5.860377,0.000000
92,5.895804,0.000000
93,5.947633,0.000000
94,6.003199,0.000000
95,6.048875,0.000000
96,6.073423,0.000000
97,6.070802,0.000000
98,6.041671,0.000000
99,5.993213,0.000000
100,5.937332,0.000000
