k,y
0,0.904
1,0.861918
2,0.849313
3,0.870055
4,0.917803
5,0.98899
6,1.0798
7,1.18698
8,1.30759
9,1.43901
10,1.57888
11,1.72507
12,1.87564
13,2.02884
14,2.18305
15,2.33683
16,2.48883
17,2.63785
18,2.78283
19,2.92281
20,3.05696
21,3.18458
22,3.30509
23,3.41804
24,3.52309
25,3.62002
26,3.7087
27,3.78913
28,3.86138
29,3.92563
30,3.98212
31,4.03114
32,4.07306
33,4.10829
34,4.13727
35,4.16045
36,4.17831
37,4.19135
38,4.20005
39,4.20489
40,4.20633
41,4.20482
42,4.20079
43,4.19465
44,4.18676
45,4.17747
46,4.16711
47,4.15597
48,4.14429
49,4.13231
50,4.12024
51,4.10824
52,4.09646
53,4.08504
54,4.07407
55,4.06364
56,4.05381
57,4.04462
58,4.03612
59,4.02831
60,4.0212
61,4.01479
62,4.00907
63,4.00402
64,3.99961
65,3.99581
66,3.99258
67,3.9899
68,3.98771
69,3.98599
70,3.98468
71,3.98375
72,3.98317
73,3.98288
74,3.98285
75,3.98305
76,3.98345
77,3.98401
78,3.98469
79,3.98549
80,3.98636
81,3.98729
82,3.98826
83,3.98925
84,3.99024
85,3.99123
86,3.99219
87,3.99313
88,3.99402
89,3.99487
90,3.99567
91,3.99642
92,3.99711
93,3.99774
94,3.99832
95,3.99884
96,3.9993
97,3.99971
98,4.00007
99,4.00038
100,4.00064
101,4.00085
102,4.00103
103,4.00116
104,4.00127
105,4.00134
106,4.00139
107,4.00141
108,4.00141
109,4.00139
110,4.00135
111,4.00131
112,4.00125
113,4.00118
114,4.00111
115,4.00103
116,4.00095
117,4.00087
118,4.00079
119,4.00071
120,4.00063
121,4.00055
122,4.00048
123,4.00041
124,4.00035
125,4.00029
126,4.00023
127,4.00018
128,4.00013
129,4.00009
130,4.00005
131,4.00002
132,3.99999
133,3.99997
134,3.99995
135,3.99993
136,3.99991
137,3.9999
138,3.99989
139,3.99989
140,3.99989
141,3.99988
142,3.99988
143,3.99989
144,3.99989
145,3.99989
146,3.9999
147,3.9999
148,3.99991
149,3.99992
150,3.99992
151,3.99993
152,3.99994
153,3.99994
154,3.99995
155,3.99996
156,3.99996
157,3.99997
158,3.99997
159,3.99998
160,3.99998
161,3.99999
162,3.99999
163,3.99999
164,4
165,4
166,4
167,4
168,4
169,4.00001
170,4.00001
171,4.00001
172,4.00001
173,4.00001
174,4.00001
175,4.00001
176,4.00001
177,4.00001
178,4.00001
179,4.00001
180,4.00001
181,4.00001
182,4.00001
183,4.00001
184,4.00001
185,4.00001
186,4.00001
187,4
188,4
189,4
190,4
191,4
192,4
193,4
194,4
195,4
196,4
197,4
198,4
199,4
200,4
201,4
202,4
203,4
204,4
205,4
206,4
207,4
208,4
209,4
210,4
211,4
212,4
213,4
214,4
215,4
216,4
217,4
218,4
219,4
220,4
221,4
222,4
223,4
224,4
225,4
226,4
227,4
228,4
229,4
230,4
231,4
232,4
233,4
234,4
235,4
236,4
237,4
238,4
239,4
240,4
241,4
242,4
243,4
244,4
245,4
246,4
247,4
248,4
249,4
250,4
251,4
252,4
253,4
254,4
255,4
256,4
257,4
258,4
259,4
260,4
261,4
262,4
263,4
264,4
265,4
266,4
267,4
268,4
269,4
270,4
271,4
272,4
273,4
274,4
275,4
276,4
277,4
278,4
279,4
280,4
281,4
282,4
283,4
284,4
285,4
286,4
287,4
288,4
289,4
290,4
291,4
292,4
293,4
294,4
295,4
296,4
297,4
298,4
299,4
