Time,Temperature,Setpoint,Control_Signal
0,19.9475,75,100
0.1,20.5969,75,100
0.2,20.8424,75,100
0.3,21.499,75,100
0.4,22.1054,75,100
0.5,22.446,75,100
0.6,23.3018,75,100
0.7,23.7518,75,100
0.8,23.129,75,100
0.9,24.555,75,100
1,24.5805,75,100
1.1,25.1863,75,100
1.2,25.6431,75,100
1.3,26.2083,75,100
1.4,26.8503,75,100
1.5,27.1425,75,100
1.6,27.5986,75,100
1.7,28.1382,75,100
1.8,28.5623,75,100
1.9,28.7518,75,100
2,29.1563,75,100
2.1,29.7441,75,100
2.2,30.1518,75,100
2.3,30.2786,75,100
2.4,30.7414,75,100
2.5,31.2692,75,100
2.6,31.4988,75,100
2.7,31.6278,75,100
2.8,32.2659,75,100
2.9,32.5999,75,100
3,33.1678,75,100
3.1,33.2713,75,100
3.2,33.5911,75,100
3.3,34.1986,75,100
3.4,34.6548,75,100
3.5,34.7449,75,100
3.6,35.1235,75,100
3.7,35.2855,75,100
3.8,35.7388,75,100
3.9,36.2637,75,100
4,36.3123,75,100
4.1,36.8565,75,100
4.2,37.1993,75,100
4.3,37.4394,75,100
4.4,37.8042,75,100
4.5,38.5515,75,100
4.6,38.4249,75,100
4.7,38.7886,75,100
4.8,38.8741,75,100
4.9,39.5069,75,100
5,39.7018,75,100
5.1,40.094,75,100
5.2,40.0322,75,100
5.3,40.2926,75,100
5.4,40.9061,75,100
5.5,41.3158,75,100
5.6,41.5463,75,100
5.7,41.8029,75,100
5.8,41.9884,75,100
5.9,42.2591,75,100
6,42.9937,75,100
6.1,42.7792,75,100
6.2,43.4227,75,100
6.3,43.1588,75,100
6.4,43.2458,75,100
6.5,44.1602,75,100
6.6,44.0746,75,100
6.7,44.6082,75,100
6.8,44.8219,75,100
6.9,45.3645,75,100
7,45.3675,75,100
7.1,45.6912,75,100
7.2,45.6994,75,100
7.3,46.2874,75,100
7.4,45.9104,75,100
7.5,46.7295,75,100
7.6,46.7716,75,100
7.7,46.7979,75,100
7.8,47.1311,75,100
7.9,47.0368,75,100
8,47.4622,75,100
8.1,47.4857,75,100
8.2,47.9306,75,100
8.3,48.3853,75,100
8.4,48.8453,75,100
8.5,48.763,75,100
8.6,49.0052,75,100
8.7,49.4977,75,100
8.8,49.1512,75,100
8.9,49.7379,75,100
9,49.8277,75,100
9.1,49.7313,75,100
9.2,50.2773,75,100
9.3,50.2536,75,100
9.4,50.8054,75,100
9.5,50.7295,75,100
9.6,50.8608,75,100
9.7,50.9864,75,100
9.8,51.3097,75,100
9.9,51.4603,75,100
10,51.6474,75,100
10.1,52.4263,75,100
10.2,51.9921,75,100
10.3,51.9199,75,100
10.4,52.6235,75,100
10.5,52.7047,75,100
10.6,52.5195,75,100
10.7,53.2222,75,100
10.8,52.8276,75,100
10.9,53.1163,75,100
11,53.5451,75,100
11.1,53.5407,75,100
11.2,53.9151,75,100
11.3,53.8559,75,100
11.4,54.1669,75,100
11.5,54.4133,75,100
11.6,54.313,75,100
11.7,54.4031,75,100
11.8,54.7203,75,100
11.9,54.7184,75,100
12,55.4063,75,100
12.1,55.1949,75,100
12.2,55.2563,75,100
12.3,55.8501,75,100
12.4,55.8167,75,100
12.5,55.5909,75,100
12.6,56.1273,75,100
12.7,56.2032,75,100
12.8,56.3903,75,100
12.9,56.6371,75,100
13,56.4503,75,100
13.1,56.7613,75,100
13.2,56.9561,75,100
13.3,56.7731,75,100
13.4,56.5386,75,100
13.5,57.0608,75,100
13.6,57.2676,75,100
13.7,57.3045,75,100
13.8,57.8624,75,100
13.9,58.0043,75,100
14,57.9825,75,100
14.1,57.7592,75,100
14.2,57.991,75,100
14.3,57.9276,75,100
14.4,58.0836,75,100
14.5,57.9362,75,100
14.6,58.4094,75,100
14.7,58.3907,75,100
14.8,58.7916,75,100
14.9,59.136,75,100
15,58.9978,75,100
15.1,59.2559,75,100
15.2,59.1811,75,100
15.3,59.1597,75,100
15.4,59.6396,75,100
15.5,59.1767,75,100
15.6,59.6129,75,100
15.7,59.7888,75,100
15.8,59.6394,75,100
15.9,59.9494,75,100
16,59.8743,75,100
16.1,59.8096,75,100
16.2,60.316,75,100
16.3,60.0406,75,100
16.4,60.4639,75,100
16.5,60.2551,75,100
16.6,60.7835,75,100
16.7,60.5388,75,100
16.8,61.1118,75,100
16.9,60.7598,75,100
17,61.0247,75,100
17.1,60.7924,75,100
17.2,60.9863,75,100
17.3,61.2728,75,100
17.4,61.2786,75,100
17.5,61.4976,75,100
17.6,61.6303,75,100
17.7,61.8026,75,100
17.8,61.5276,75,100
17.9,61.7555,75,100
18,61.9449,75,100
18.1,62.0259,75,100
18.2,62.0618,75,100
18.3,62.0392,75,100
18.4,61.7902,75,100
18.5,62.0605,75,100
